,NE,Count,Type
880,Hobson,18,PERSON
881,Seth,18,PERSON
882,Kennedy,18,PERSON
883,Rochon,17,PERSON
884,NL,17,O
885,Columbia Pictures,17,ORGANIZATION
886,Campbell,17,ORGANIZATION
887,Cohen,17,PERSON
888,Riga,17,LOCATION
889,Solomon Islands,17,LOCATION
890,Quito,17,LOCATION
891,Unicode,17,ORGANIZATION
892,Lousma,17,PERSON
893,Verona,17,PERSON
894,Mylchreest,17,PERSON
895,Mukti Bahini,17,PERSON
896,Kazakhstan,17,LOCATION
897,Carolina,17,PERSON
898,Kim,17,PERSON
899,SPD,17,O
900,Raiders,17,O
901,Charlotte,17,PERSON
902,Parker,17,PERSON
903,Labor Party,17,ORGANIZATION
904,Bradford,17,PERSON
905,Jussi,17,PERSON
906,Benson,17,PERSON
907,Kay,17,PERSON
908,Nazi,17,O
909,De Lancey,17,PERSON
910,D?sseldorf,17,O
911,Gill,17,PERSON
912,Greenleaf,17,PERSON
913,Kellerman,17,PERSON
914,Salton Sea,17,LOCATION
915,Kolossus,17,PERSON
916,Salt Lake City,17,LOCATION
